auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.326,0.7315,0.3323,0.3364,0.37,0.3524,AnnThyroid,D,GANoma,0.09090909090909091,1100,100
0.9642,0.9838,0.9642,0.8545,0.94,0.8952,NSL-KDD,B,DevNet,0.09090909090909091,2200,200
0.8735,0.9725,0.8746,0.419,0.9565,0.5828,EmailSpam-bert,A,DevNet,0.04397705544933078,1046,46
0.8654,0.9891,0.8664,0.7818,0.86,0.819,AnnThyroid,A,DevNet,0.09090909090909091,1100,100
0.2562,0.7645,0.2621,0.2909,0.32,0.3048,AnnThyroid,D,LUNAR,0.09090909090909091,1100,100
0.1416,0.8196,0.1485,0.1429,0.3261,0.1987,EmailSpam-bert,A,AE,0.04397705544933078,1046,46
0.744,0.9652,0.7446,0.5727,0.63,0.6,NSL-KDD,B,AE,0.09090909090909091,2200,200
0.8565,0.9885,0.8576,0.7818,0.86,0.819,AnnThyroid,B,DevNet,0.09090909090909091,1100,100
0.111,0.6473,0.1113,0.1038,0.2391,0.1447,EmailSpam-bert,D,SO_GAAL,0.04397705544933078,1046,46
0.0938,0.7189,0.0998,0.1238,0.2826,0.1722,EmailSpam-bert,A,GANoma,0.04397705544933078,1046,46
0.8268,0.9878,0.8292,0.7909,0.87,0.8286,AnnThyroid,D,FTTransformer,0.09090909090909091,1100,100
0.9404,0.9742,0.9405,0.8318,0.915,0.8714,CreditCard,C,DevNet,0.09090909090909091,2200,200
0.1363,0.7487,0.1426,0.1792,0.413,0.25,EmailSpam-bert,B,SO_GAAL,0.04397705544933078,1046,46
0.1144,0.7073,0.1184,0.1429,0.3261,0.1987,EmailSpam-bert,B,GANoma,0.04397705544933078,1046,46
0.7207,0.9183,0.5514,0.6014,0.845,0.7027,CreditCard,D,SO_GAAL,0.09090909090909091,2200,200
0.8832,0.943,0.8833,0.7591,0.835,0.7952,CreditCard,D,GANoma,0.09090909090909091,2200,200
0.4132,0.8335,0.4171,0.4091,0.45,0.4286,CreditCard,C,GANoma,0.09090909090909091,2200,200
0.4779,0.8753,0.4806,0.4091,0.45,0.4286,NSL-KDD,C,LUNAR,0.09090909090909091,2200,200
0.1162,0.5016,0.1221,0.1364,0.15,0.1429,AnnThyroid,C,DAGMM,0.09090909090909091,1100,100
0.6375,0.9668,0.6412,0.7,0.77,0.7333,NSL-KDD,A,DeepSVDD,0.09090909090909091,2200,200
0.7244,0.963,0.7253,0.6818,0.75,0.7143,NSL-KDD,D,VAE,0.09090909090909091,2200,200
0.6845,0.9608,0.687,0.7409,0.815,0.7762,NSL-KDD,A,GANoma,0.09090909090909091,2200,200
0.564,0.9466,0.5679,0.6727,0.74,0.7048,NSL-KDD,B,DeepSVDD,0.09090909090909091,2200,200
0.1343,0.815,0.1409,0.1429,0.3261,0.1987,EmailSpam-bert,B,AE,0.04397705544933078,1046,46
0.2814,0.7745,0.2865,0.3091,0.34,0.3238,AnnThyroid,B,LUNAR,0.09090909090909091,1100,100
0.8152,0.9598,0.8165,0.4,0.913,0.5563,EmailSpam-bert,D,DevNet,0.04397705544933078,1046,46
0.0438,0.5033,0.0461,0.0476,0.1087,0.0662,EmailSpam-bert,D,DAGMM,0.04397705544933078,1046,46
0.9421,0.9845,0.9422,0.85,0.935,0.8905,NSL-KDD,B,FTTransformer,0.09090909090909091,2200,200
0.4558,0.8815,0.4597,0.5182,0.57,0.5429,CreditCard,D,LUNAR,0.09090909090909091,2200,200
0.5369,0.8723,0.5384,0.4273,0.47,0.4476,AnnThyroid,B,DeepSVDD,0.09090909090909091,1100,100
0.8261,0.9874,0.8275,0.4095,0.9348,0.5695,EmailSpam-bert,D,FEAWAD,0.04397705544933078,1046,46
0.0936,0.7049,0.1031,0.1048,0.2391,0.1457,EmailSpam-bert,D,GANoma,0.04397705544933078,1046,46
0.7553,0.953,0.7568,0.7182,0.79,0.7524,AnnThyroid,B,FEAWAD,0.09090909090909091,1100,100
0.0999,0.7823,0.1047,0.1238,0.2826,0.1722,EmailSpam-bert,D,VAE,0.04397705544933078,1046,46
0.4092,0.806,0.4115,0.3545,0.39,0.3714,AnnThyroid,B,VAE,0.09090909090909091,1100,100
0.8419,0.9711,0.8435,0.419,0.9565,0.5828,EmailSpam-bert,B,DevNet,0.04397705544933078,1046,46
0.6393,0.9433,0.6402,0.5136,0.565,0.5381,NSL-KDD,D,AE,0.09090909090909091,2200,200
0.7097,0.9431,0.7165,0.7227,0.795,0.7571,CreditCard,A,AE,0.09090909090909091,2200,200
0.8299,0.9883,0.8324,0.4095,0.9348,0.5695,EmailSpam-bert,C,FTTransformer,0.04397705544933078,1046,46
0.5272,0.7821,0.5043,0.4909,0.54,0.5143,NSL-KDD,C,SO_GAAL,0.09090909090909091,2200,200
0.1257,0.8091,0.132,0.1333,0.3043,0.1854,EmailSpam-bert,D,LUNAR,0.04397705544933078,1046,46
0.8178,0.9793,0.8194,0.7636,0.84,0.8,AnnThyroid,A,FEAWAD,0.09090909090909091,1100,100
0.8522,0.966,0.8551,0.7909,0.87,0.8286,NSL-KDD,D,FEAWAD,0.09090909090909091,2200,200
0.0505,0.5536,0.0531,0.0571,0.1304,0.0795,EmailSpam-bert,B,DAGMM,0.04397705544933078,1046,46
0.1031,0.7903,0.108,0.1238,0.2826,0.1722,EmailSpam-bert,C,VAE,0.04397705544933078,1046,46
0.5683,0.9293,0.571,0.6455,0.71,0.6762,NSL-KDD,A,DAGMM,0.09090909090909091,2200,200
0.8609,0.9885,0.862,0.7909,0.87,0.8286,AnnThyroid,C,DevNet,0.09090909090909091,1100,100
0.3064,0.6388,0.1463,0.1789,0.39,0.2453,AnnThyroid,A,SO_GAAL,0.09090909090909091,1100,100
0.1486,0.8443,0.1553,0.1619,0.3696,0.2252,EmailSpam-bert,A,LUNAR,0.04397705544933078,1046,46
0.061,0.5605,0.0672,0.0762,0.1739,0.106,EmailSpam-bert,A,DAGMM,0.04397705544933078,1046,46
0.4147,0.806,0.4169,0.3636,0.4,0.381,AnnThyroid,A,VAE,0.09090909090909091,1100,100
0.6921,0.9767,0.6945,0.8409,0.925,0.881,NSL-KDD,B,FEAWAD,0.09090909090909091,2200,200
0.1268,0.7907,0.1338,0.1429,0.3261,0.1987,EmailSpam-bert,C,AE,0.04397705544933078,1046,46
0.1383,0.8294,0.1448,0.1524,0.3478,0.2119,EmailSpam-bert,B,LUNAR,0.04397705544933078,1046,46
0.7834,0.9719,0.784,0.7045,0.775,0.7381,NSL-KDD,A,AE,0.09090909090909091,2200,200
0.2846,0.7195,0.2828,0.3091,0.34,0.3238,AnnThyroid,B,DAGMM,0.09090909090909091,1100,100
0.5644,0.9135,0.5702,0.5727,0.63,0.6,CreditCard,D,DeepSVDD,0.09090909090909091,2200,200
0.0408,0.4683,0.043,0.0286,0.0652,0.0397,EmailSpam-bert,C,SO_GAAL,0.04397705544933078,1046,46
0.246,0.8449,0.2484,0.2318,0.255,0.2429,NSL-KDD,B,DAGMM,0.09090909090909091,2200,200
0.1482,0.4734,0.1479,0.1364,0.15,0.1429,AnnThyroid,D,DAGMM,0.09090909090909091,1100,100
0.9248,0.972,0.9249,0.8182,0.9,0.8571,CreditCard,A,FEAWAD,0.09090909090909091,2200,200
0.3259,0.6454,0.3248,0.3182,0.35,0.3333,CreditCard,D,DAGMM,0.09090909090909091,2200,200
0.8067,0.9695,0.8082,0.381,0.8696,0.5298,EmailSpam-bert,D,FTTransformer,0.04397705544933078,1046,46
0.2494,0.6292,0.1582,0.2266,0.29,0.2544,AnnThyroid,C,SO_GAAL,0.09090909090909091,1100,100
0.2383,0.5891,0.241,0.2545,0.28,0.2667,AnnThyroid,A,DAGMM,0.09090909090909091,1100,100
0.7227,0.9504,0.7293,0.6864,0.755,0.719,CreditCard,B,AE,0.09090909090909091,2200,200
0.7692,0.9843,0.7758,0.7455,0.82,0.781,AnnThyroid,C,FTTransformer,0.09090909090909091,1100,100
0.2395,0.8487,0.2418,0.1955,0.215,0.2048,NSL-KDD,D,DAGMM,0.09090909090909091,2200,200
0.8483,0.9884,0.8501,0.7818,0.86,0.819,AnnThyroid,A,FTTransformer,0.09090909090909091,1100,100
0.8257,0.9729,0.8261,0.7273,0.8,0.7619,NSL-KDD,A,VAE,0.09090909090909091,2200,200
0.3627,0.7598,0.3647,0.3455,0.38,0.3619,AnnThyroid,C,AE,0.09090909090909091,1100,100
0.7645,0.9657,0.7665,0.7,0.77,0.7333,AnnThyroid,C,FEAWAD,0.09090909090909091,1100,100
0.052,0.4497,0.0605,0.0476,0.1087,0.0662,EmailSpam-bert,C,DAGMM,0.04397705544933078,1046,46
0.9574,0.9735,0.9574,0.8545,0.94,0.8952,NSL-KDD,A,DevNet,0.09090909090909091,2200,200
0.1052,0.5704,0.1074,0.1,0.11,0.1048,AnnThyroid,A,GANoma,0.09090909090909091,1100,100
0.7041,0.9713,0.7065,0.7545,0.83,0.7905,NSL-KDD,B,GANoma,0.09090909090909091,2200,200
0.8217,0.9865,0.8237,0.4095,0.9348,0.5695,EmailSpam-bert,B,FEAWAD,0.04397705544933078,1046,46
0.3151,0.8822,0.3175,0.3227,0.355,0.3381,NSL-KDD,D,GANoma,0.09090909090909091,2200,200
0.9231,0.984,0.924,0.8182,0.9,0.8571,NSL-KDD,D,FTTransformer,0.09090909090909091,2200,200
0.9486,0.9847,0.9487,0.85,0.935,0.8905,NSL-KDD,C,FTTransformer,0.09090909090909091,2200,200
0.7524,0.9493,0.7538,0.7182,0.79,0.7524,CreditCard,A,LUNAR,0.09090909090909091,2200,200
0.8494,0.9513,0.8502,0.3905,0.8913,0.543,EmailSpam-bert,A,FTTransformer,0.04397705544933078,1046,46
0.7056,0.9593,0.7063,0.5364,0.59,0.5619,NSL-KDD,C,AE,0.09090909090909091,2200,200
0.9387,0.9659,0.9388,0.8273,0.91,0.8667,CreditCard,A,DevNet,0.09090909090909091,2200,200
0.9614,0.9779,0.9614,0.8545,0.94,0.8952,NSL-KDD,C,DevNet,0.09090909090909091,2200,200
0.133,0.8249,0.1392,0.1429,0.3261,0.1987,EmailSpam-bert,C,LUNAR,0.04397705544933078,1046,46
0.5759,0.9149,0.5824,0.5818,0.64,0.6095,CreditCard,D,AE,0.09090909090909091,2200,200
0.3318,0.7877,0.3368,0.3455,0.38,0.3619,AnnThyroid,A,LUNAR,0.09090909090909091,1100,100
0.8224,0.9268,0.8227,0.7318,0.805,0.7667,CreditCard,A,GANoma,0.09090909090909091,2200,200
0.3821,0.7736,0.3841,0.3273,0.36,0.3429,AnnThyroid,C,DeepSVDD,0.09090909090909091,1100,100
0.8333,0.9791,0.8346,0.4095,0.9348,0.5695,EmailSpam-bert,B,FTTransformer,0.04397705544933078,1046,46
0.054,0.5445,0.0568,0.0571,0.1304,0.0795,EmailSpam-bert,A,SO_GAAL,0.04397705544933078,1046,46
0.5608,0.9533,0.5632,0.6773,0.745,0.7095,NSL-KDD,C,GANoma,0.09090909090909091,2200,200
0.7736,0.9359,0.7743,0.6864,0.755,0.719,CreditCard,C,DAGMM,0.09090909090909091,2200,200
0.9212,0.9688,0.9212,0.8091,0.89,0.8476,CreditCard,B,FTTransformer,0.09090909090909091,2200,200
0.5769,0.9451,0.5803,0.5,0.55,0.5238,NSL-KDD,D,DeepSVDD,0.09090909090909091,2200,200
0.7713,0.9518,0.776,0.7545,0.83,0.7905,CreditCard,B,VAE,0.09090909090909091,2200,200
0.8474,0.9879,0.8485,0.7818,0.86,0.819,AnnThyroid,D,DevNet,0.09090909090909091,1100,100
0.577,0.8059,0.5593,0.5136,0.565,0.5381,NSL-KDD,A,SO_GAAL,0.09090909090909091,2200,200
0.2493,0.6231,0.1625,0.224,0.28,0.2489,AnnThyroid,B,SO_GAAL,0.09090909090909091,1100,100
0.1043,0.7919,0.1093,0.1238,0.2826,0.1722,EmailSpam-bert,A,VAE,0.04397705544933078,1046,46
0.2352,0.7209,0.2392,0.2545,0.28,0.2667,AnnThyroid,D,AE,0.09090909090909091,1100,100
0.7264,0.9414,0.7283,0.6545,0.72,0.6857,AnnThyroid,D,FEAWAD,0.09090909090909091,1100,100
0.9549,0.967,0.9549,0.8545,0.94,0.8952,NSL-KDD,D,DevNet,0.09090909090909091,2200,200
0.3445,0.8171,0.3472,0.3091,0.34,0.3238,NSL-KDD,D,LUNAR,0.09090909090909091,2200,200
0.3122,0.6818,0.2088,0.2719,0.31,0.2897,AnnThyroid,D,SO_GAAL,0.09090909090909091,1100,100
0.7306,0.927,0.5513,0.5898,0.87,0.703,CreditCard,A,SO_GAAL,0.09090909090909091,2200,200
0.7387,0.9652,0.7413,0.8409,0.925,0.881,NSL-KDD,C,FEAWAD,0.09090909090909091,2200,200
0.7795,0.9505,0.7842,0.7591,0.835,0.7952,CreditCard,A,VAE,0.09090909090909091,2200,200
0.9348,0.9746,0.9349,0.8273,0.91,0.8667,CreditCard,A,FTTransformer,0.09090909090909091,2200,200
0.0738,0.6677,0.0783,0.0667,0.1522,0.0927,EmailSpam-bert,A,DeepSVDD,0.04397705544933078,1046,46
0.829,0.9555,0.8333,0.7682,0.845,0.8048,CreditCard,A,DeepSVDD,0.09090909090909091,2200,200
0.5702,0.9189,0.576,0.5818,0.64,0.6095,CreditCard,C,AE,0.09090909090909091,2200,200
0.6744,0.9382,0.6808,0.6682,0.735,0.7,CreditCard,B,LUNAR,0.09090909090909091,2200,200
0.9421,0.9695,0.9422,0.8318,0.915,0.8714,CreditCard,D,DevNet,0.09090909090909091,2200,200
0.0846,0.6848,0.0936,0.0857,0.1957,0.1192,EmailSpam-bert,C,DeepSVDD,0.04397705544933078,1046,46
0.8335,0.9401,0.834,0.7227,0.795,0.7571,CreditCard,D,FTTransformer,0.09090909090909091,2200,200
0.8118,0.9553,0.8213,0.7727,0.85,0.8095,CreditCard,D,FEAWAD,0.09090909090909091,2200,200
0.087,0.6955,0.0926,0.1238,0.2826,0.1722,EmailSpam-bert,C,GANoma,0.04397705544933078,1046,46
0.1054,0.7945,0.1102,0.1333,0.3043,0.1854,EmailSpam-bert,B,VAE,0.04397705544933078,1046,46
0.7644,0.9651,0.7651,0.7136,0.785,0.7476,NSL-KDD,C,VAE,0.09090909090909091,2200,200
0.4026,0.78,0.4044,0.3545,0.39,0.3714,AnnThyroid,B,AE,0.09090909090909091,1100,100
0.6736,0.9344,0.6756,0.5545,0.61,0.581,NSL-KDD,A,LUNAR,0.09090909090909091,2200,200
0.3039,0.7417,0.308,0.3182,0.35,0.3333,AnnThyroid,D,VAE,0.09090909090909091,1100,100
0.5464,0.8525,0.5261,0.4977,0.55,0.5226,NSL-KDD,D,SO_GAAL,0.09090909090909091,2200,200
0.7087,0.96,0.7097,0.6909,0.76,0.7238,NSL-KDD,C,DeepSVDD,0.09090909090909091,2200,200
0.5336,0.8496,0.536,0.5455,0.6,0.5714,CreditCard,A,DAGMM,0.09090909090909091,2200,200
0.2455,0.8383,0.2475,0.2364,0.26,0.2476,NSL-KDD,C,DAGMM,0.09090909090909091,2200,200
0.9184,0.9709,0.9185,0.8227,0.905,0.8619,CreditCard,C,FTTransformer,0.09090909090909091,2200,200
0.3355,0.7606,0.3388,0.3273,0.36,0.3429,AnnThyroid,C,VAE,0.09090909090909091,1100,100
0.1247,0.7815,0.1313,0.1429,0.3261,0.1987,EmailSpam-bert,D,AE,0.04397705544933078,1046,46
0.7171,0.9443,0.7233,0.6773,0.745,0.7095,CreditCard,D,VAE,0.09090909090909091,2200,200
0.0847,0.7317,0.0889,0.0952,0.2174,0.1325,EmailSpam-bert,B,DeepSVDD,0.04397705544933078,1046,46
0.8447,0.9669,0.8458,0.419,0.9565,0.5828,EmailSpam-bert,A,FEAWAD,0.04397705544933078,1046,46
0.2365,0.6911,0.2405,0.2818,0.31,0.2952,AnnThyroid,D,DeepSVDD,0.09090909090909091,1100,100
0.3907,0.7897,0.3927,0.3364,0.37,0.3524,AnnThyroid,A,DeepSVDD,0.09090909090909091,1100,100
0.7007,0.9072,0.5107,0.5584,0.86,0.6772,CreditCard,B,SO_GAAL,0.09090909090909091,2200,200
0.8795,0.971,0.8811,0.8,0.88,0.8381,CreditCard,B,FEAWAD,0.09090909090909091,2200,200
0.592,0.9255,0.5987,0.6182,0.68,0.6476,CreditCard,C,LUNAR,0.09090909090909091,2200,200
0.8604,0.989,0.8616,0.7909,0.87,0.8286,AnnThyroid,B,FTTransformer,0.09090909090909091,1100,100
0.9384,0.965,0.9385,0.8318,0.915,0.8714,CreditCard,B,DevNet,0.09090909090909091,2200,200
0.7387,0.9279,0.5884,0.6437,0.84,0.7289,CreditCard,C,SO_GAAL,0.09090909090909091,2200,200
0.915,0.9585,0.9151,0.8,0.88,0.8381,CreditCard,B,GANoma,0.09090909090909091,2200,200
0.6281,0.9124,0.6303,0.5227,0.575,0.5476,NSL-KDD,B,LUNAR,0.09090909090909091,2200,200
0.8759,0.9696,0.8767,0.4095,0.9348,0.5695,EmailSpam-bert,C,DevNet,0.04397705544933078,1046,46
0.1089,0.7664,0.1149,0.1143,0.2609,0.1589,EmailSpam-bert,D,DeepSVDD,0.04397705544933078,1046,46
0.7341,0.9688,0.7368,0.8364,0.92,0.8762,NSL-KDD,A,FEAWAD,0.09090909090909091,2200,200
0.2732,0.7297,0.2808,0.3182,0.35,0.3333,AnnThyroid,B,GANoma,0.09090909090909091,1100,100
0.7399,0.9309,0.7409,0.7227,0.795,0.7571,CreditCard,C,DeepSVDD,0.09090909090909091,2200,200
0.9119,0.9709,0.9121,0.8227,0.905,0.8619,CreditCard,C,FEAWAD,0.09090909090909091,2200,200
0.3027,0.6763,0.3097,0.3091,0.34,0.3238,AnnThyroid,C,GANoma,0.09090909090909091,1100,100
0.6943,0.8275,0.6756,0.6364,0.7,0.6667,NSL-KDD,B,SO_GAAL,0.09090909090909091,2200,200
0.3458,0.7962,0.3463,0.4182,0.46,0.4381,CreditCard,B,DAGMM,0.09090909090909091,2200,200
0.7646,0.982,0.7675,0.3905,0.8913,0.543,EmailSpam-bert,C,FEAWAD,0.04397705544933078,1046,46
0.4226,0.7619,0.4243,0.3727,0.41,0.3905,AnnThyroid,A,AE,0.09090909090909091,1100,100
0.736,0.9471,0.741,0.6909,0.76,0.7238,CreditCard,C,VAE,0.09090909090909091,2200,200
0.9555,0.9801,0.9555,0.85,0.935,0.8905,NSL-KDD,A,FTTransformer,0.09090909090909091,2200,200
0.8149,0.9703,0.8154,0.7273,0.8,0.7619,NSL-KDD,B,VAE,0.09090909090909091,2200,200
0.7952,0.9549,0.7985,0.7318,0.805,0.7667,CreditCard,B,DeepSVDD,0.09090909090909091,2200,200
0.2869,0.7823,0.2946,0.3182,0.35,0.3333,AnnThyroid,C,LUNAR,0.09090909090909091,1100,100
0.1608,0.6416,0.165,0.2455,0.27,0.2571,AnnThyroid,D,GANoma,0.09090909090909091,1100,100
0.9624,0.9801,0.9624,0.8545,0.94,0.8952,NSL-KDD,B,DevNet,0.09090909090909091,2200,200
0.911,0.9912,0.9117,0.419,0.9565,0.5828,EmailSpam-bert,A,DevNet,0.04397705544933078,1046,46
0.8595,0.9887,0.8606,0.7818,0.86,0.819,AnnThyroid,A,DevNet,0.09090909090909091,1100,100
0.2593,0.7686,0.2652,0.3091,0.34,0.3238,AnnThyroid,D,LUNAR,0.09090909090909091,1100,100
0.1381,0.817,0.1451,0.1524,0.3478,0.2119,EmailSpam-bert,A,AE,0.04397705544933078,1046,46
0.7357,0.9631,0.7363,0.5727,0.63,0.6,NSL-KDD,B,AE,0.09090909090909091,2200,200
0.8568,0.9885,0.8579,0.7818,0.86,0.819,AnnThyroid,B,DevNet,0.09090909090909091,1100,100
0.1042,0.6914,0.1139,0.1524,0.3478,0.2119,EmailSpam-bert,D,SO_GAAL,0.04397705544933078,1046,46
0.1195,0.7437,0.1274,0.1333,0.3043,0.1854,EmailSpam-bert,A,GANoma,0.04397705544933078,1046,46
0.7729,0.9858,0.7799,0.7909,0.87,0.8286,AnnThyroid,D,FTTransformer,0.09090909090909091,1100,100
0.943,0.973,0.943,0.8318,0.915,0.8714,CreditCard,C,DevNet,0.09090909090909091,2200,200
0.1807,0.6698,0.1762,0.1238,0.2826,0.1722,EmailSpam-bert,B,SO_GAAL,0.04397705544933078,1046,46
0.115,0.7518,0.1223,0.1238,0.2826,0.1722,EmailSpam-bert,B,GANoma,0.04397705544933078,1046,46
0.7402,0.9165,0.5937,0.6564,0.85,0.7407,CreditCard,D,SO_GAAL,0.09090909090909091,2200,200
0.7774,0.9245,0.7782,0.7227,0.795,0.7571,CreditCard,D,GANoma,0.09090909090909091,2200,200
0.8495,0.9459,0.8497,0.7136,0.785,0.7476,CreditCard,C,GANoma,0.09090909090909091,2200,200
0.4609,0.8686,0.4635,0.4045,0.445,0.4238,NSL-KDD,C,LUNAR,0.09090909090909091,2200,200
0.0936,0.4969,0.0958,0.1273,0.14,0.1333,AnnThyroid,C,DAGMM,0.09090909090909091,1100,100
0.4893,0.9403,0.4937,0.5273,0.58,0.5524,NSL-KDD,A,DeepSVDD,0.09090909090909091,2200,200
0.6989,0.959,0.6999,0.5727,0.63,0.6,NSL-KDD,D,VAE,0.09090909090909091,2200,200
0.6016,0.95,0.6042,0.6364,0.7,0.6667,NSL-KDD,A,GANoma,0.09090909090909091,2200,200
0.5342,0.9418,0.5361,0.5909,0.65,0.619,NSL-KDD,B,DeepSVDD,0.09090909090909091,2200,200
0.1438,0.8202,0.1508,0.1429,0.3261,0.1987,EmailSpam-bert,B,AE,0.04397705544933078,1046,46
0.304,0.7746,0.309,0.3273,0.36,0.3429,AnnThyroid,B,LUNAR,0.09090909090909091,1100,100
0.7623,0.9294,0.7637,0.3524,0.8043,0.4901,EmailSpam-bert,D,DevNet,0.04397705544933078,1046,46
0.065,0.6047,0.0696,0.0857,0.1957,0.1192,EmailSpam-bert,D,DAGMM,0.04397705544933078,1046,46
0.9586,0.9893,0.9587,0.85,0.935,0.8905,NSL-KDD,B,FTTransformer,0.09090909090909091,2200,200
0.4751,0.8726,0.4789,0.5409,0.595,0.5667,CreditCard,D,LUNAR,0.09090909090909091,2200,200
0.2642,0.7036,0.2682,0.2909,0.32,0.3048,AnnThyroid,B,DeepSVDD,0.09090909090909091,1100,100
0.8999,0.9925,0.9007,0.4286,0.9783,0.596,EmailSpam-bert,D,FEAWAD,0.04397705544933078,1046,46
0.1218,0.7692,0.1297,0.1333,0.3043,0.1854,EmailSpam-bert,D,GANoma,0.04397705544933078,1046,46
0.6453,0.9466,0.6493,0.6455,0.71,0.6762,AnnThyroid,B,FEAWAD,0.09090909090909091,1100,100
0.1013,0.7845,0.1061,0.1238,0.2826,0.1722,EmailSpam-bert,D,VAE,0.04397705544933078,1046,46
0.403,0.797,0.4053,0.3455,0.38,0.3619,AnnThyroid,B,VAE,0.09090909090909091,1100,100
0.9002,0.9861,0.9009,0.419,0.9565,0.5828,EmailSpam-bert,B,DevNet,0.04397705544933078,1046,46
0.6335,0.9403,0.6344,0.5136,0.565,0.5381,NSL-KDD,D,AE,0.09090909090909091,2200,200
0.7187,0.942,0.7285,0.7318,0.805,0.7667,CreditCard,A,AE,0.09090909090909091,2200,200
0.817,0.9873,0.8204,0.4095,0.9348,0.5695,EmailSpam-bert,C,FTTransformer,0.04397705544933078,1046,46
0.4169,0.618,0.3957,0.3846,0.425,0.4038,NSL-KDD,C,SO_GAAL,0.09090909090909091,2200,200
0.1216,0.8081,0.1274,0.1238,0.2826,0.1722,EmailSpam-bert,D,LUNAR,0.04397705544933078,1046,46
0.6438,0.9489,0.6469,0.6,0.66,0.6286,AnnThyroid,A,FEAWAD,0.09090909090909091,1100,100
0.8666,0.9653,0.8698,0.8273,0.91,0.8667,NSL-KDD,D,FEAWAD,0.09090909090909091,2200,200
0.0449,0.5292,0.047,0.0381,0.087,0.053,EmailSpam-bert,B,DAGMM,0.04397705544933078,1046,46
0.1014,0.787,0.1062,0.1238,0.2826,0.1722,EmailSpam-bert,C,VAE,0.04397705544933078,1046,46
0.4524,0.9208,0.4555,0.5227,0.575,0.5476,NSL-KDD,A,DAGMM,0.09090909090909091,2200,200
0.8571,0.9886,0.8582,0.7818,0.86,0.819,AnnThyroid,C,DevNet,0.09090909090909091,1100,100
0.2066,0.5961,0.1551,0.2069,0.24,0.2222,AnnThyroid,A,SO_GAAL,0.09090909090909091,1100,100
0.1572,0.851,0.1648,0.1714,0.3913,0.2384,EmailSpam-bert,A,LUNAR,0.04397705544933078,1046,46
0.063,0.5881,0.0678,0.0857,0.1957,0.1192,EmailSpam-bert,A,DAGMM,0.04397705544933078,1046,46
0.4132,0.8011,0.4154,0.3545,0.39,0.3714,AnnThyroid,A,VAE,0.09090909090909091,1100,100
0.7263,0.9835,0.7289,0.8364,0.92,0.8762,NSL-KDD,B,FEAWAD,0.09090909090909091,2200,200
0.1286,0.7929,0.1353,0.1524,0.3478,0.2119,EmailSpam-bert,C,AE,0.04397705544933078,1046,46
0.1388,0.8296,0.1456,0.1429,0.3261,0.1987,EmailSpam-bert,B,LUNAR,0.04397705544933078,1046,46
0.7818,0.9708,0.7823,0.7,0.77,0.7333,NSL-KDD,A,AE,0.09090909090909091,2200,200
0.1922,0.7408,0.1984,0.2364,0.26,0.2476,AnnThyroid,B,DAGMM,0.09090909090909091,1100,100
0.6982,0.9397,0.7053,0.6864,0.755,0.719,CreditCard,D,DeepSVDD,0.09090909090909091,2200,200
0.0576,0.6091,0.0602,0.0849,0.1957,0.1184,EmailSpam-bert,C,SO_GAAL,0.04397705544933078,1046,46
0.5811,0.9418,0.5841,0.6636,0.73,0.6952,NSL-KDD,B,DAGMM,0.09090909090909091,2200,200
0.1543,0.5279,0.1575,0.1273,0.14,0.1333,AnnThyroid,D,DAGMM,0.09090909090909091,1100,100
0.9182,0.9725,0.9184,0.8227,0.905,0.8619,CreditCard,A,FEAWAD,0.09090909090909091,2200,200
0.7303,0.9329,0.7315,0.6727,0.74,0.7048,CreditCard,D,DAGMM,0.09090909090909091,2200,200
0.7456,0.9727,0.7481,0.3714,0.8478,0.5166,EmailSpam-bert,D,FTTransformer,0.04397705544933078,1046,46
0.2551,0.6185,0.1435,0.2014,0.28,0.2343,AnnThyroid,C,SO_GAAL,0.09090909090909091,1100,100
0.0983,0.5538,0.1,0.1,0.11,0.1048,AnnThyroid,A,DAGMM,0.09090909090909091,1100,100
0.754,0.9472,0.7583,0.7364,0.81,0.7714,CreditCard,B,AE,0.09090909090909091,2200,200
0.8233,0.9869,0.826,0.7909,0.87,0.8286,AnnThyroid,C,FTTransformer,0.09090909090909091,1100,100
0.2744,0.8687,0.2775,0.2091,0.23,0.219,NSL-KDD,D,DAGMM,0.09090909090909091,2200,200
0.8863,0.9894,0.887,0.7909,0.87,0.8286,AnnThyroid,A,FTTransformer,0.09090909090909091,1100,100
0.8278,0.9735,0.8283,0.7273,0.8,0.7619,NSL-KDD,A,VAE,0.09090909090909091,2200,200
0.2447,0.7481,0.2496,0.2727,0.3,0.2857,AnnThyroid,C,AE,0.09090909090909091,1100,100
0.7696,0.9726,0.7715,0.6909,0.76,0.7238,AnnThyroid,C,FEAWAD,0.09090909090909091,1100,100
0.045,0.4848,0.0477,0.0667,0.1522,0.0927,EmailSpam-bert,C,DAGMM,0.04397705544933078,1046,46
0.9618,0.9818,0.9618,0.8545,0.94,0.8952,NSL-KDD,A,DevNet,0.09090909090909091,2200,200
0.1687,0.6116,0.1729,0.1909,0.21,0.2,AnnThyroid,A,GANoma,0.09090909090909091,1100,100
0.5771,0.9564,0.5799,0.7,0.77,0.7333,NSL-KDD,B,GANoma,0.09090909090909091,2200,200
0.8649,0.9898,0.866,0.419,0.9565,0.5828,EmailSpam-bert,B,FEAWAD,0.04397705544933078,1046,46
