auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.7331,0.9427,0.7391,0.7091,0.78,0.7429,CreditCard,D,DeepSVDD,0.09090909090909091,2200,200
0.0953,0.6754,0.0893,0.1038,0.2391,0.1447,EmailSpam-bert,C,SO_GAAL,0.04397705544933078,1046,46
0.4426,0.9179,0.4455,0.5364,0.59,0.5619,NSL-KDD,B,DAGMM,0.09090909090909091,2200,200
0.153,0.6063,0.1557,0.1818,0.2,0.1905,AnnThyroid,D,DAGMM,0.09090909090909091,1100,100
0.9071,0.9715,0.9098,0.8227,0.905,0.8619,CreditCard,A,FEAWAD,0.09090909090909091,2200,200
0.1856,0.629,0.1905,0.2227,0.245,0.2333,CreditCard,D,DAGMM,0.09090909090909091,2200,200
0.8331,0.9804,0.8341,0.3714,0.8478,0.5166,EmailSpam-bert,D,FTTransformer,0.04397705544933078,1046,46
0.2995,0.679,0.1729,0.234,0.33,0.2739,AnnThyroid,C,SO_GAAL,0.09090909090909091,1100,100
0.0958,0.5478,0.0974,0.0636,0.07,0.0667,AnnThyroid,A,DAGMM,0.09090909090909091,1100,100
0.6857,0.9369,0.6908,0.6545,0.72,0.6857,CreditCard,B,AE,0.09090909090909091,2200,200
0.8201,0.9856,0.8222,0.7727,0.85,0.8095,AnnThyroid,C,FTTransformer,0.09090909090909091,1100,100
0.4759,0.9131,0.4784,0.6,0.66,0.6286,NSL-KDD,D,DAGMM,0.09090909090909091,2200,200
0.8345,0.9865,0.836,0.7545,0.83,0.7905,AnnThyroid,A,FTTransformer,0.09090909090909091,1100,100
0.8236,0.9722,0.8241,0.7318,0.805,0.7667,NSL-KDD,A,VAE,0.09090909090909091,2200,200
0.3615,0.8191,0.3648,0.3364,0.37,0.3524,AnnThyroid,C,AE,0.09090909090909091,1100,100
0.7603,0.966,0.7621,0.7091,0.78,0.7429,AnnThyroid,C,FEAWAD,0.09090909090909091,1100,100
