model;dataset;scenario;time
FTTransformer;EmailSpam-bert;D;1795.03
FEAWAD;EmailSpam-bert;D;373.58
DevNet;EmailSpam-bert;D;12.83
FTTransformer;EmailSpam-bert;E;2159.35
FEAWAD;EmailSpam-bert;E;374.44
DevNet;EmailSpam-bert;E;12.95
AE;NSL-KDD;A;5.54
VAE;NSL-KDD;A;28.78
DeepSVDD;NSL-KDD;A;6.06
DAGMM;NSL-KDD;A;22.42
SO_GAAL;NSL-KDD;A;19.63
LUNAR;NSL-KDD;A;5.17
GANoma;NSL-KDD;A;12.6
FTTransformer;NSL-KDD;B;659.75
FEAWAD;NSL-KDD;B;267.41
DevNet;NSL-KDD;B;13.08
FTTransformer;NSL-KDD;C;147.27
FEAWAD;NSL-KDD;C;267.74
DevNet;NSL-KDD;C;13.34
FTTransformer;NSL-KDD;D;974.64
FEAWAD;NSL-KDD;D;267.22
DevNet;NSL-KDD;D;12.79
FTTransformer;NSL-KDD;E;591.86
FEAWAD;NSL-KDD;E;273.24
DevNet;NSL-KDD;E;13.12
AE;CreditCard;A;4.07
VAE;CreditCard;A;29.02
DeepSVDD;CreditCard;A;5.94
DAGMM;CreditCard;A;26.27
SO_GAAL;CreditCard;A;21.96
LUNAR;CreditCard;A;4.95
GANoma;CreditCard;A;10.02
FTTransformer;CreditCard;B;266.09
FEAWAD;CreditCard;B;260.41
DevNet;CreditCard;B;12.63
FTTransformer;CreditCard;C;263.26
FEAWAD;CreditCard;C;259.76
DevNet;CreditCard;C;12.91
FTTransformer;CreditCard;D;406.93
FEAWAD;CreditCard;D;260.2
DevNet;CreditCard;D;12.58
FTTransformer;CreditCard;E;417.81
FEAWAD;CreditCard;E;263.81
DevNet;CreditCard;E;12.76
AE;AnnThyroid;A;2.33
VAE;AnnThyroid;A;16.4
DeepSVDD;AnnThyroid;A;3.47
DAGMM;AnnThyroid;A;13.42
SO_GAAL;AnnThyroid;A;4.06
LUNAR;AnnThyroid;A;3.15
GANoma;AnnThyroid;A;5.61
FTTransformer;AnnThyroid;B;72.12
FEAWAD;AnnThyroid;B;259.38
DevNet;AnnThyroid;B;12.92
