model;dataset;scenario;time
FEAWAD;NSL-KDD;C;268.33
DevNet;NSL-KDD;C;12.72
FTTransformer;NSL-KDD;D;980.94
FEAWAD;NSL-KDD;D;268.68
DevNet;NSL-KDD;D;12.53
FTTransformer;NSL-KDD;E;1013.22
FEAWAD;NSL-KDD;E;279.2
DevNet;NSL-KDD;E;13.19
AE;CreditCard;A;4.4
VAE;CreditCard;A;27.2
DeepSVDD;CreditCard;A;5.92
DAGMM;CreditCard;A;24.12
SO_GAAL;CreditCard;A;20.25
LUNAR;CreditCard;A;4.85
GANoma;CreditCard;A;10.0
FTTransformer;CreditCard;B;233.51
FEAWAD;CreditCard;B;275.15999999999997
DevNet;CreditCard;B;13.03
FTTransformer;CreditCard;C;278.01
FEAWAD;CreditCard;C;265.0
DevNet;CreditCard;C;13.21
FTTransformer;CreditCard;D;406.24
FEAWAD;CreditCard;D;260.24
DevNet;CreditCard;D;12.78
FTTransformer;CreditCard;E;394.63
FEAWAD;CreditCard;E;258.78
DevNet;CreditCard;E;13.17
AE;AnnThyroid;A;2.17
VAE;AnnThyroid;A;15.96
DeepSVDD;AnnThyroid;A;3.4
DAGMM;AnnThyroid;A;16.03
SO_GAAL;AnnThyroid;A;4.07
LUNAR;AnnThyroid;A;3.75
GANoma;AnnThyroid;A;5.72
FTTransformer;AnnThyroid;B;91.84
FEAWAD;AnnThyroid;B;257.32
DevNet;AnnThyroid;B;13.12
FTTransformer;AnnThyroid;C;84.74
FEAWAD;AnnThyroid;C;258.83
DevNet;AnnThyroid;C;13.0
FTTransformer;AnnThyroid;D;109.53
FEAWAD;AnnThyroid;D;261.26
DevNet;AnnThyroid;D;13.02
FTTransformer;AnnThyroid;E;150.73
FEAWAD;AnnThyroid;E;258.97
DevNet;AnnThyroid;E;13.81
AE;EmailSpam-bert;A;2.01
VAE;EmailSpam-bert;A;29.18
DeepSVDD;EmailSpam-bert;A;3.4
DAGMM;EmailSpam-bert;A;10.68
SO_GAAL;EmailSpam-bert;A;12.02
LUNAR;EmailSpam-bert;A;3.23
GANoma;EmailSpam-bert;A;8.68
FTTransformer;EmailSpam-bert;B;3049.34
FEAWAD;EmailSpam-bert;B;374.71
DevNet;EmailSpam-bert;B;13.06
FTTransformer;EmailSpam-bert;C;2418.63
FEAWAD;EmailSpam-bert;C;379.74
DevNet;EmailSpam-bert;C;12.83
FTTransformer;EmailSpam-bert;D;1616.16
FEAWAD;EmailSpam-bert;D;383.11
DevNet;EmailSpam-bert;D;12.96
FTTransformer;EmailSpam-bert;E;5874.35
FEAWAD;EmailSpam-bert;E;383.46
DevNet;EmailSpam-bert;E;12.88
