auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.875,0.9712,0.876,0.419,0.9565,0.5828,EmailSpam-bert,B,DevNet,0.04397705544933078,1046,46
0.5549,0.9285,0.557,0.4818,0.53,0.5048,NSL-KDD,D,AE,0.09090909090909091,2200,200
0.478,0.8886,0.4856,0.4727,0.52,0.4952,CreditCard,A,AE,0.09090909090909091,2200,200
0.7981,0.9795,0.8009,0.3905,0.8913,0.543,EmailSpam-bert,C,FTTransformer,0.04397705544933078,1046,46
0.4485,0.7617,0.417,0.3665,0.405,0.3848,NSL-KDD,C,SO_GAAL,0.09090909090909091,2200,200
0.1023,0.7412,0.1085,0.1048,0.2391,0.1457,EmailSpam-bert,D,LUNAR,0.04397705544933078,1046,46
0.6493,0.9397,0.6517,0.6,0.66,0.6286,AnnThyroid,A,FEAWAD,0.09090909090909091,1100,100
0.8354,0.9753,0.8382,0.8091,0.89,0.8476,NSL-KDD,D,FEAWAD,0.09090909090909091,2200,200
0.0522,0.5052,0.056,0.0762,0.1739,0.106,EmailSpam-bert,B,DAGMM,0.04397705544933078,1046,46
0.0982,0.7775,0.1028,0.1143,0.2609,0.1589,EmailSpam-bert,C,VAE,0.04397705544933078,1046,46
0.4853,0.9311,0.4881,0.6,0.66,0.6286,NSL-KDD,A,DAGMM,0.09090909090909091,2200,200
0.8608,0.9888,0.8618,0.7818,0.86,0.819,AnnThyroid,C,DevNet,0.09090909090909091,1100,100
0.262,0.6261,0.1507,0.2044,0.28,0.2363,AnnThyroid,A,SO_GAAL,0.09090909090909091,1100,100
0.1249,0.788,0.1312,0.1429,0.3261,0.1987,EmailSpam-bert,A,LUNAR,0.04397705544933078,1046,46
0.0467,0.523,0.0492,0.0571,0.1304,0.0795,EmailSpam-bert,A,DAGMM,0.04397705544933078,1046,46
0.3288,0.7518,0.3322,0.3273,0.36,0.3429,AnnThyroid,A,VAE,0.09090909090909091,1100,100
0.7799,0.9817,0.7823,0.8455,0.93,0.8857,NSL-KDD,B,FEAWAD,0.09090909090909091,2200,200
0.116,0.7601,0.1226,0.1429,0.3261,0.1987,EmailSpam-bert,C,AE,0.04397705544933078,1046,46
0.1184,0.7878,0.1244,0.1333,0.3043,0.1854,EmailSpam-bert,B,LUNAR,0.04397705544933078,1046,46
0.6259,0.9381,0.6269,0.5455,0.6,0.5714,NSL-KDD,A,AE,0.09090909090909091,2200,200
0.2344,0.715,0.2396,0.3091,0.34,0.3238,AnnThyroid,B,DAGMM,0.09090909090909091,1100,100
0.6592,0.9131,0.6645,0.6273,0.69,0.6571,CreditCard,D,DeepSVDD,0.09090909090909091,2200,200
0.068,0.6363,0.0714,0.0857,0.1957,0.1192,EmailSpam-bert,C,SO_GAAL,0.04397705544933078,1046,46
0.2389,0.8065,0.2414,0.25,0.275,0.2619,NSL-KDD,B,DAGMM,0.09090909090909091,2200,200
0.101,0.5484,0.1033,0.1182,0.13,0.1238,AnnThyroid,D,DAGMM,0.09090909090909091,1100,100
0.9201,0.9562,0.9201,0.8136,0.895,0.8524,CreditCard,A,FEAWAD,0.09090909090909091,2200,200
0.4319,0.8706,0.4349,0.5091,0.56,0.5333,CreditCard,D,DAGMM,0.09090909090909091,2200,200
0.7857,0.9738,0.7875,0.4,0.913,0.5563,EmailSpam-bert,D,FTTransformer,0.04397705544933078,1046,46
0.2456,0.6306,0.1515,0.2162,0.24,0.2275,AnnThyroid,C,SO_GAAL,0.09090909090909091,1100,100
0.085,0.4833,0.0868,0.0818,0.09,0.0857,AnnThyroid,A,DAGMM,0.09090909090909091,1100,100
0.5415,0.9082,0.5491,0.5818,0.64,0.6095,CreditCard,B,AE,0.09090909090909091,2200,200
0.8078,0.9864,0.8106,0.7727,0.85,0.8095,AnnThyroid,C,FTTransformer,0.09090909090909091,1100,100
0.271,0.7933,0.2744,0.2318,0.255,0.2429,NSL-KDD,D,DAGMM,0.09090909090909091,2200,200
0.8838,0.9902,0.8848,0.7818,0.86,0.819,AnnThyroid,A,FTTransformer,0.09090909090909091,1100,100
0.6647,0.9518,0.6658,0.55,0.605,0.5762,NSL-KDD,A,VAE,0.09090909090909091,2200,200
0.1996,0.7041,0.2031,0.2091,0.23,0.219,AnnThyroid,C,AE,0.09090909090909091,1100,100
0.723,0.9819,0.7271,0.7727,0.85,0.8095,AnnThyroid,C,FEAWAD,0.09090909090909091,1100,100
0.0615,0.5955,0.0652,0.0762,0.1739,0.106,EmailSpam-bert,C,DAGMM,0.04397705544933078,1046,46
0.97,0.992,0.97,0.8545,0.94,0.8952,NSL-KDD,A,DevNet,0.09090909090909091,2200,200
0.204,0.6811,0.2085,0.2727,0.3,0.2857,AnnThyroid,A,GANoma,0.09090909090909091,1100,100
0.6801,0.9667,0.6826,0.7545,0.83,0.7905,NSL-KDD,B,GANoma,0.09090909090909091,2200,200
0.8961,0.9928,0.8971,0.419,0.9565,0.5828,EmailSpam-bert,B,FEAWAD,0.04397705544933078,1046,46
0.3005,0.8737,0.303,0.3091,0.34,0.3238,NSL-KDD,D,GANoma,0.09090909090909091,2200,200
0.8981,0.9719,0.8983,0.7864,0.865,0.8238,NSL-KDD,D,FTTransformer,0.09090909090909091,2200,200
0.923,0.9748,0.9232,0.8227,0.905,0.8619,NSL-KDD,C,FTTransformer,0.09090909090909091,2200,200
0.4394,0.8565,0.4498,0.4818,0.53,0.5048,CreditCard,A,LUNAR,0.09090909090909091,2200,200
0.8921,0.9905,0.893,0.419,0.9565,0.5828,EmailSpam-bert,A,FTTransformer,0.04397705544933078,1046,46
0.5895,0.9341,0.5911,0.5045,0.555,0.5286,NSL-KDD,C,AE,0.09090909090909091,2200,200
0.9366,0.9646,0.9366,0.8318,0.915,0.8714,CreditCard,A,DevNet,0.09090909090909091,2200,200
0.9558,0.9673,0.9559,0.8545,0.94,0.8952,NSL-KDD,C,DevNet,0.09090909090909091,2200,200
0.1139,0.7726,0.1199,0.1143,0.2609,0.1589,EmailSpam-bert,C,LUNAR,0.04397705544933078,1046,46
0.4794,0.8886,0.4865,0.5364,0.59,0.5619,CreditCard,D,AE,0.09090909090909091,2200,200
0.2637,0.7692,0.2701,0.3,0.33,0.3143,AnnThyroid,A,LUNAR,0.09090909090909091,1100,100
0.8948,0.9571,0.8949,0.7682,0.845,0.8048,CreditCard,A,GANoma,0.09090909090909091,2200,200
0.1855,0.6543,0.1899,0.2182,0.24,0.2286,AnnThyroid,C,DeepSVDD,0.09090909090909091,1100,100
0.8773,0.9882,0.8781,0.419,0.9565,0.5828,EmailSpam-bert,B,FTTransformer,0.04397705544933078,1046,46
0.09,0.6378,0.0979,0.1121,0.2609,0.1569,EmailSpam-bert,A,SO_GAAL,0.04397705544933078,1046,46
0.4577,0.9402,0.4605,0.4318,0.475,0.4524,NSL-KDD,C,GANoma,0.09090909090909091,2200,200
0.4782,0.8443,0.4799,0.4864,0.535,0.5095,CreditCard,C,DAGMM,0.09090909090909091,2200,200
0.8963,0.9694,0.8965,0.7636,0.84,0.8,CreditCard,B,FTTransformer,0.09090909090909091,2200,200
0.5498,0.9301,0.5538,0.45,0.495,0.4714,NSL-KDD,D,DeepSVDD,0.09090909090909091,2200,200
0.7111,0.9443,0.7174,0.6773,0.745,0.7095,CreditCard,B,VAE,0.09090909090909091,2200,200
0.8501,0.9881,0.8513,0.7818,0.86,0.819,AnnThyroid,D,DevNet,0.09090909090909091,1100,100
0.4624,0.7539,0.431,0.4364,0.48,0.4571,NSL-KDD,A,SO_GAAL,0.09090909090909091,2200,200
0.2881,0.6411,0.1735,0.2605,0.31,0.2831,AnnThyroid,B,SO_GAAL,0.09090909090909091,1100,100
0.1001,0.7832,0.1048,0.1048,0.2391,0.1457,EmailSpam-bert,A,VAE,0.04397705544933078,1046,46
0.2517,0.7635,0.2552,0.2545,0.28,0.2667,AnnThyroid,D,AE,0.09090909090909091,1100,100
0.6502,0.9436,0.6553,0.7182,0.79,0.7524,AnnThyroid,D,FEAWAD,0.09090909090909091,1100,100
0.9607,0.9793,0.9607,0.8545,0.94,0.8952,NSL-KDD,D,DevNet,0.09090909090909091,2200,200
0.2316,0.7423,0.2341,0.2091,0.23,0.219,NSL-KDD,D,LUNAR,0.09090909090909091,2200,200
